code,title,section,class,subclass
B23K,"SOLDERING OR UNSOLDERING; WELDING; CLADDING OR PLATING BY SOLDERING OR WELDING; CUTTING BY APPLYING HEAT LOCALLY, e.g. FLAME CUTTING; WORKING BY LASER BEAM (making metal-coated products by extruding metal B21C23/22; building up linings or coverings by casting B22D19/08; casting by dipping B22D23/04; manufacture of composite layers by sintering metal powder B22F7/00; arrangements on machine tools for copying or controlling B23Q; covering metals or covering materials with metals, not otherwise provided for C23C; burners F23D)",B,23,K
B23P,METAL-WORKING NOT OTHERWISE PROVIDED FOR; COMBINED OPERATIONS; UNIVERSAL MACHINE TOOLS (arrangements for copying or controlling B23Q),B,23,P
B23Q,"DETAILS, COMPONENTS, OR ACCESSORIES FOR MACHINE TOOLS, e.g. ARRANGEMENTS FOR COPYING OR CONTROLLING (tools of the kind used in lathes or boring machines B23B27/00); MACHINE TOOLS IN GENERAL CHARACTERISED BY THE CONSTRUCTION OF PARTICULAR DETAILS OR COMPONENTS; COMBINATIONS OR ASSOCIATIONS OF METAL-WORKING MACHINES, NOT DIRECTED TO A PARTICULAR RESULT",B,23,Q
B24B,"MACHINES, DEVICES, OR PROCESSES FOR GRINDING OR POLISHING (grinding of gear teeth B23F, of screw-threads B23G1/36; by electro-erosion B23H; abrasive or related blasting B24C; tools for grinding, buffing or sharpening B24D; polishing compositions C09G1/00; abrasives C09K3/14; electrolytic etching or polishing C25F3/00; grinding arrangements for use on assembled railway tracks E01B31/17); DRESSING OR CONDITIONING OF ABRADING SURFACES; FEEDING OF GRINDING, POLISHING, OR LAPPING AGENTS",B,24,B
B24C,ABRASIVE OR RELATED BLASTING WITH PARTICULATE MATERIAL,B,24,C
B24D,"TOOLS FOR GRINDING, BUFFING OR SHARPENING (abrading-bodies specially designed for tumbling apparatus, e.g. abrading-balls B24B31/14; honing tools B24B33/08; lapping tools B24B37/11)",B,24,D
B25B,"TOOLS OR BENCH DEVICES NOT OTHERWISE PROVIDED FOR, FOR FASTENING, CONNECTING, DISENGAGING OR HOLDING",B,25,B
B25C,HAND-HELD NAILING OR STAPLING TOOLS; MANUALLY OPERATED PORTABLE STAPLING TOOLS (for shoemaking A43D),B,25,C
B25D,"PERCUSSIVE TOOLS {(percussive machines for forging B21J; hand-held drilling machines, in general B23B45/00, for wood B27C3/08; drilling machines, used for mining or quarrying, with reciprocating tool which is turned intermittently when out of contact with the working face E21B1/00)}",B,25,D
B25F,COMBINATION OR MULTI-PURPOSE TOOLS NOT OTHERWISE PROVIDED FOR; DETAILS OR COMPONENTS OF PORTABLE POWER-DRIVEN TOOLS NOT PARTICULARLY RELATED TO THE OPERATIONS PERFORMED AND NOT OTHERWISE PROVIDED FOR {(machines or arrangements of machines for performing specified combinations of different metal-working operations not covered by a single other subclass B23P23/00 and subgroups)},B,25,F
B25G,HANDLES FOR HAND IMPLEMENTS (attaching the blades or the like to handles of hand tools for soil working A01B1/22; handles of hand implements for harvesting A01D1/14; handles integral with brushware A46B),B,25,G
B25H,"WORKSHOP EQUIPMENT, e.g. FOR MARKING-OUT WORK; STORAGE MEANS FOR WORKSHOPS (storing or packaging B65)",B,25,H
B25J,"MANIPULATORS; CHAMBERS PROVIDED WITH MANIPULATION DEVICES ({manipulators specially adapted for use in surgery A61B34/70; manipulators used in cleaning hollow articles B08B9/04} ; manipulators associated with rolling mills B21B39/20; manipulators associated with forging machines B21J13/10; {manipulators associated with picking-up and placing mechanisms B23P19/007} ; means for holding wheels or parts thereof B60B30/00; {vehicles with ground-engaging propulsion means, e.g. walking members B62D57/02, B62D57/032; devices for picking-up and depositing articles or materials between conveyors B65G47/90, B65G47/91; manipulators with gripping or holding means for transferring packages B65H67/065}; cranes B66C; {manipulators used in the protection or supervision of pipe-line installations F17D5/00; walking equipment adapted for nuclear steam-generators F22B37/006}; manipulators specially adapted for, or associated with, nuclear reactors G21C; {apparatus used for handling wafers during manufacture or treatment of semiconductor H01L21/68})",B,25,J
B26B,"HAND-HELD CUTTING TOOLS NOT OTHERWISE PROVIDED FOR (for harvesting A01D; for horticulture, for forestry A01G; for butchering or meat treatment A22; for manufactering or repairing footwear A43D; nail clippers or cutters A45D29/02; kitchen equipment A47J; {vegetable slicers, julienne cutters and similar devices and holders therefor, B26D3/28}; for surgical purposes A61B; for metal B23D; cutting by abrasive fluid jets B24C5/02; plier-like tools with cutting edges B25B7/22; pincers B25C11/02; handles for hand implements, in general B25G; guillotine-type cutters B26D; {perforating by non-mechanical means, e.g. by fluid jet, B26F1/26}; for erasing B43L19/00; for textile materials D06H)",B,26,B
B26D,"CUTTING; DETAILS COMMON TO MACHINES FOR PERFORATING, PUNCHING, CUTTING-OUT, STAMPING-OUT OR SEVERING (soil-working A01B; for growing crops or plants A01D, A01G; for fodder or straw A01F; for bulk butter A01J; for dough A21C; slaughtering A22B; for tobacco, cigars or cigarettes A24; marking-out, perforating or making buttonholes A41H25/00; manufacturing footwear A43D; brushmaking A46D; surgery A61B; disintegrating, mincing or shredding in general B02C; cutting wire, making pins or nails B21F, B21G; of the kind used formetal B23; cutting by abrasive fluid jets B24C5/02; hand-held cutting tools B26B; perforating, cutting-out, stamping-out or punching, or severing by means other than cutting B26F; for wood B27; for stone B28D; working of plastics or substances in a plastic state B29; making boxes, cartons, envelopes or bags, of paper or similarly worked materials, e.g. metal foil, B31B; article or web delivery apparatus incorporating cutting or line-perforating devices B65H35/00; for leather or upholstery B68; C14B; for glass C03B; making matches C06F; for peat C10F; for sugar C13B45/00; for textile materials D06H; civil engineering, building, mining, see Section E; for light guides G02B6/25; cutting processed photographic material G03D15/04)",B,26,D
B26F,"PERFORATING; PUNCHING; CUTTING-OUT; STAMPING-OUT; SEVERING BY MEANS OTHER THAN CUTTING (marking-out, perforating or making buttonholes A41H25/00; shoemaking A43D; surgery A61B; punching metal B21D; drilling metal B23B; cutting of metal by applying heat locally, e.g. flame cutting, B23K; cutting by abrasive fluid jets B24C5/02; details common to machines for severing B26D; drilling wood B27C; drilling stone B28D; working of plastics or substances in a plastic state B29; making boxes, cartons, envelopes or bags, of paper or similarly worked materials, e.g. metal foil, B31B; of glass C03B; of leather C14B; of textile materials D06H; for light guides G02B6/25; of tickets G07B)",B,26,F
B27B,"SAWS FOR WOOD OR SIMILAR MATERIAL; COMPONENTS OR ACCESSORIES THEREFOR (saws specially adapted for pruning or debranching A01G3/08; sawing apparatus specially adapted for felling trees A01G23/091; features not restricted to a particular type of wood saw B23D, e.g. attaching saw blades B23D51/00; machine tool frames, beds, pillars or like members, in general B23Q1/01)",B,27,B
B27C,"PLANING, DRILLING, MILLING, TURNING OR UNIVERSAL MACHINES FOR WOOD OR SIMILAR MATERIAL (machine tools in general B23; working wood using abrasive, e.g. sanding, devices B24; tools for these purposes B27G)",B,27,C
B27D,"WORKING VENEER OR PLYWOOD (applying liquids or other fluent materials to surface in general B05; grinding, sanding, or polishing of wood B24; applying adhesives or glue to surfaces of wood B27G11/00; manufacture of veneer B27L5/00)",B,27,D
B27F,"DOVETAILED WORK; TENONS; SLOTTING MACHINES FOR WOOD OR SIMILAR MATERIAL; NAILING OR STAPLING MACHINES (hand-held nailing or stapling tools B25C; manufacture of cases, trunks or boxes from wood B27M3/34; connections for building structures in general, e.g. dowels for use in building constructions E04B1/38; jointing elements in general, e.g. dowels in general, F16B {; manufacture of long strips or planks by bonding together pieces of wood, e.g. by glueing, B27M3/0013})",B,27,F
B27G,"ACCESSORY MACHINES OR APPARATUS FOR WORKING WOOD OR SIMILAR MATERIALS; TOOLS FOR WORKING WOOD OR SIMILAR MATERIALS (tools for grinding B24D; sawing tools B27B33/00; tools for slotting or mortising machines B27F5/02; tools for the manufacture of wood shavings, chips, powder or the like B27L11/00); SAFETY DEVICES FOR WOOD WORKING MACHINES OR TOOLS",B,27,G
B27H,BENDING WOOD OR SIMILAR MATERIAL; COOPERAGE; MAKING WHEELS FROM WOOD OR SIMILAR MATERIAL,B,27,H
B27J,"MECHANICAL WORKING OF CANE, CORK, OR SIMILAR MATERIALS",B,27,J
B27K,"PROCESSES, APPARATUS OR SELECTION OF SUBSTANCES FOR IMPREGNATING, STAINING, DYEING, BLEACHING OF WOOD OR SIMILAR MATERIALS, OR TREATING OF WOOD OR SIMILAR MATERIALS WITH PERMEANT LIQUIDS, NOT OTHERWISE PROVIDED FOR (applying liquids or other fluent materials to surfaces in general B05; coating wood or similar material B44D); CHEMICAL OR PHYSICAL TREATMENT OF CORK, CANE, REED, STRAW OR SIMILAR MATERIALS",B,27,K
B27L,"REMOVING BARK OR VESTIGES OF BRANCHES (forestry A01G); SPLITTING WOOD; MANUFACTURE OF VENEER, WOODEN STICKS, WOOD SHAVINGS, WOOD FIBRES OR WOOD POWDER",B,27,L
B27M,WORKING OF WOOD NOT PROVIDED FOR IN SUBCLASSES B27BÂ -Â B27L; MANUFACTURE OF SPECIFIC WOODEN ARTICLES,B,27,M
B27N,"MANUFACTURE BY DRY PROCESSES OF ARTICLES, WITH OR WITHOUT ORGANIC BINDING AGENTS, MADE FROM PARTICLES OR FIBRES CONSISTING OF WOOD OR OTHER LIGNOCELLULOSIC OR LIKE ORGANIC MATERIAL (containing cementitious material B28B; shaping of substances in a plastic state B29C; fibreboards made from fibrous suspensions D21J; drying F26B17/00)",B,27,N
B28B,"SHAPING CLAY OR OTHER CERAMIC COMPOSITIONS; SHAPING SLAG; SHAPING MIXTURES CONTAINING CEMENTITIOUS MATERIAL, e.g. PLASTER (foundry moulding B22C; working stone or stone-like material B28D; shaping of substances in a plastic state, in general B29C; making layered products not composed wholly of these substances B32B; shaping in situ, see the relevant classes of section E)",B,28,B
B28C,"PREPARING CLAY; PRODUCING MIXTURES CONTAINING CLAY OR CEMENTITIOUS MATERIAL, e.g. PLASTER (preparing material for foundry moulds B22C5/00)",B,28,C
B28D,WORKING STONE OR STONE-LIKE MATERIALS,B,28,D
B29B,PREPARATION OR PRETREATMENT OF THE MATERIAL TO BE SHAPED; MAKING GRANULES OR PREFORMS; RECOVERY OF PLASTICS OR OTHER CONSTITUENTS OF WASTE MATERIAL CONTAINING PLASTICS,B,29,B
B29C,"SHAPING OR JOINING OF PLASTICS; SHAPING OF MATERIAL IN A PLASTIC STATE, NOT OTHERWISE PROVIDED FOR; AFTER-TREATMENT OF THE SHAPED PRODUCTS, e.g. REPAIRING (making preforms B29B11/00; making laminated products by combining previously unconnected layers which become one product whose layers will remain together B32B37/00 - B32B41/00)",B,29,C
B29D,PRODUCING PARTICULAR ARTICLES FROM PLASTICS OR FROM SUBSTANCES IN A PLASTIC STATE (making granules B29B9/00; making preforms B29B11/00),B,29,D
B29K,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES B29B, B29C OR B29D, RELATING TO MOULDING MATERIALS OR TO MATERIALS FOR {MOULDS, } REINFORCEMENTS, FILLERS OR PREFORMED PARTS, e.g. INSERTS",B,29,K
B29L,"INDEXING SCHEME ASSOCIATED WITH SUBCLASS B29C, RELATING TO PARTICULAR ARTICLES",B,29,L
B30B,"PRESSES IN GENERAL (producing ultra-high pressure or ultra-high pressure and high temperature to effect modifications of a substance, e.g. for making artificial diamonds B01J3/00 ){(compressing means for refuse receptacles B65F1/1405)}",B,30,B
B31B,"MAKING CONTAINERS OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER (making wound articles, e.g. wound tubes, B31C; combined making and filling B65B)",B,31,B
B31C,"MAKING WOUND ARTICLES, e.g. WOUND TUBES, OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER",B,31,C
B31D,"MAKING ARTICLES OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER, NOT PROVIDED FOR IN SUBCLASSES B31B OR B31C (manufacture by dry processes of articles made from particles or fibres consisting of wood or other lignocellulosic or like organic material B27N; making layered products not composed wholly of paper or cardboard B32B; making articles from cellulosic fibrous suspensions, e.g. wood pulp, D21J)",B,31,D
B31F,"MECHANICAL WORKING OR DEFORMATION OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER (making layered products not composed wholly of paper or cardboard B32B)",B,31,F
B32B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM",B,32,B
B33Y,"ADDITIVE MANUFACTURING, i.e. MANUFACTURING OF THREE-DIMENSIONAL [3-D] OBJECTS BY ADDITIVE DEPOSITION, ADDITIVE AGGLOMERATION OR ADDITIVE LAYERING, e.g. BY 3-D PRINTING, STEREOLITHOGRAPHY OR SELECTIVE LASER SINTERING",B,33,Y
B41B,"MACHINES OR ACCESSORIES FOR MAKING, SETTING, OR DISTRIBUTING TYPE; TYPE; PHOTOGRAPHIC OR PHOTOELECTRIC COMPOSING DEVICES (photographic devices in general G03)",B,41,B
B41C,PROCESSES FOR THE MANUFACTURE OR REPRODUCTION OF PRINTING SURFACES (photomechanical processes for producing printing surfaces G03F; photoelectrical processes for producing printing surfaces G03G),B,41,C
B41D,"APPARATUS FOR THE MECHANICAL REPRODUCTION OF PRINTING SURFACES FOR STEREOTYPE PRINTING; SHAPING ELASTIC OR DEFORMABLE MATERIAL TO FORM PRINTING SURFACES ({engraving by spark erosion B23H;} marking or engraving metal by the action of a high concentration of electric current B23H9/06; type, machines or accessories for making, setting, or distributing type B41B; processes for the manufacture or reproduction of printing surfaces B41C; machines or apparatus for engraving in general, or for embossing B44B3/00, B44B5/00; chemical etching of metal C23F1/00; electrolytic etching C25F3/00; photomechanical reprodcution G03F)",B,41,D
B41F,PRINTING MACHINES OR PRESSES (manifolding devices or office printing machines B41L),B,41,F
B41G,"APPARATUS FOR BRONZE PRINTING, LINE PRINTING, OR FOR BORDERING OR EDGING SHEETS OR LIKE ARTICLES; AUXILIARY FOR PERFORATING IN CONJUNCTION WITH PRINTING (perforating in general B26D; production of decorations B44C; perforating in conjunction with sheet or web delivery B65H35/00; folding or unfolding thin material, e.g. sheets, webs, B65H45/00, B65H47/00)",B,41,G
B41J,"TYPEWRITERS; SELECTIVE PRINTING MECHANISMS, {e.g. INK-JET PRINTERS, THERMAL PRINTERS}, i.e. MECHANISMS PRINTING OTHERWISE THAN FROM A FORME; CORRECTION OF TYPOGRAPHICAL ERRORS (composing B41B; printing on special surfaces B41F; laundry marking B41K; erasers, rubbers or erasing devices B43L19/00; fluid media for correction of typographical errors by coating C09D10/00; recording the results of measuring G01; recognition or presentation of data, marking record carriers in digital fashion, e.g. by punching, G06K; franking or ticket-printing and issuing apparatus G07B; electric keyboard switches, in general H01H13/70, H03K17/94; coding in connection with keyboards or like devices, in general H03M11/00; receivers or transmitters for transmission of digital information H04L; transmission or reproduction of documents, or the like, e.g. facsimile transmission, H04N1/00; printing mechanisms specially adapted for apparatus, e.g. cash registers, weighing machines, producing records of their own performance, see the relevant subclasses)",B,41,J
B41K,"STAMPS; STAMPING OR NUMBERING APPARATUS OR DEVICES (marking meat A22C17/10; embossing combined with printing B41F19/00; selective printing mechanisms B41J; embossing decorations or marks B44B5/00; marking or coding completed packages B65B61/26; ticket printing and issuing, fare registering, nonprinting aspects of franking apparatus G07B)",B,41,K
B41L,"APPARATUS OR DEVICES FOR MANIFOLDING, DUPLICATING OR PRINTING FOR OFFICE OR OTHER COMMERCIAL PURPOSES; ADDRESSING MACHINES OR LIKE SERIES-PRINTING MACHINES (printing presses or machines for industrial purposes B41F; stamps, stamping or numbering devices B41K)",B,41,L
B41M,"PRINTING, DUPLICATING, MARKING, OR COPYING PROCESSES; COLOUR PRINTING, (correction of typographical errors B41J; processes for applying transfer pictures or the like B44C1/16; fluid media for correction of typographical errors by coating C09D10/00; printing textiles D06P)",B,41,M
B41N,"PRINTING PLATES OR FOILS (photosensitive material G03); MATERIALS FOR SURFACES USED IN PRINTING MACHINES FOR PRINTING, INKING, DAMPING, OR THE LIKE; PREPARING SUCH SURFACES FOR USE AND CONSERVING THEM",B,41,N
B41P,"INDEXING SCHEME RELATING TO PRINTING, LINING MACHINES, TYPEWRITERS, AND TO STAMPS",B,41,P
B42B,"PERMANENTLY ATTACHING TOGETHER SHEETS, QUIRES OR SIGNATURES OR PERMANENTLY ATTACHING OBJECTS THERETO (nailing or stapling in general B25C, B27F; machines for both collating or gathering and permanently attaching together sheets or signatures B42C1/12; temporarily attaching sheets together B42F)",B,42,B
B42C,"BOOKBINDING (cutting or perforating machines, devices or tools B26; folding sheets or webs B31F; ornamenting books B44)",B,42,C
B42D,BOOKS; BOOK COVERS; LOOSE LEAVES; PRINTED MATTER CHARACTERISED BY IDENTIFICATION OR SECURITY FEATURES; PRINTED MATTER OF SPECIAL FORMAT OR STYLE NOT OTHERWISE PROVIDED FOR; DEVICES FOR USE THEREWITH AND NOT OTHERWISE PROVIDED FOR; MOVABLE-STRIP WRITING OR READING APPARATUS,B,42,D
B42F,SHEETS TEMPORARILY ATTACHED TOGETHER; FILING APPLIANCES; FILE CARDS; INDEXING (reading desks A47B19/00; book rests A47B23/00),B,42,F
B42P,"INDEXING SCHEME RELATING TO BOOKS, FILING APPLIANCES OR THE LIKE",B,42,P
B43K,"IMPLEMENTS FOR WRITING OR DRAWING (containers, casings or accessories for cosmetic substances, e.g. shaving soap, lipstick, make-up A45D34/00, A45D40/00)",B,43,K
B43L,ARTICLES FOR WRITING OR DRAWING UPON; {WRITING OR DRAWING AIDS;} ACCESSORIES FOR WRITING OR DRAWING (workshop equipment for marking-out work B25H7/00; teaching hand-writing or drawing G09B11/00),B,43,L
B43M,BUREAU ACCESSORIES NOT OTHERWISE PROVIDED FOR (stapling devices B25C5/00; devices for temporarily attaching sheets together B42F),B,43,M
B44B,"MACHINES, APPARATUS OR TOOLS FOR ARTISTIC WORK, e.g. FOR SCULPTURING, GUILLOCHING, CARVING, BRANDING, INLAYING (processes for producing decorative effects B44C; embossing leather C14B)",B,44,B
B44C,"PRODUCING DECORATIVE EFFECTS (processes for applying liquids or other fluent materials to surfaces, in general B05D; shaping of plastics or substances in a plastic state B29C; printing processes to produce transfer pictures B41M3/12; thermographic duplication or marking methods B41M5/00); MOSAICS; TARSIA WORK (imitation of mosaic or tarsia work patterns B44F11/04); PAPERHANGING {(labels G09F; multi-step processes for making paper labels or tags B31D1/02)}",B,44,C
B44D,"PAINTING OR ARTISTIC DRAWING, NOT OTHERWISE PROVIDED FOR; PRESERVING PAINTINGS; SURFACE TREATMENT TO OBTAIN SPECIAL ARTISTIC SURFACE EFFECTS OR FINISHES (surface treatment in general, see the relevant places, e.g. applying liquids or other fluent materials B05)",B,44,D
B44F,SPECIAL DESIGNS OR PICTURES,B,44,F
B60B,"VEHICLE WHEELS (making wheels or wheel parts by rolling B21H1/00, by forging, hammering or pressing B21K1/28); CASTORS; AXLES FOR WHEELS OR CASTORS; INCREASING WHEEL ADHESION",B,60,B
B60C,VEHICLE TYRES; TYRE INFLATION; TYRE CHANGING; CONNECTING VALVES TO INFLATABLE ELASTIC BODIES IN GENERAL; DEVICES OR ARRANGEMENTS RELATED TO TYRES,B,60,C
B60D,VEHICLE CONNECTIONS (components of brake systems B60T17/04),B,60,D
B60F,VEHICLES FOR USE BOTH ON RAIL AND ON ROAD; AMPHIBIOUS OR LIKE VEHICLES; CONVERTIBLE VEHICLES (air-cushion vehicles B60V),B,60,F
B60G,VEHICLE SUSPENSION ARRANGEMENTS (air-cushion vehicles B60V; {cycle suspensions B62K25/00}),B,60,G
B60H,"ARRANGEMENTS OF HEATING, COOLING, VENTILATING OR OTHER AIR-TREATING DEVICES SPECIALLY ADAPTED FOR PASSENGER OR GOODS SPACES OF VEHICLES",B,60,H
B60J,"WINDOWS, WINDSCREENS, NON-FIXED ROOFS, DOORS, OR SIMILAR DEVICES FOR VEHICLES; REMOVABLE EXTERNAL PROTECTIVE COVERINGS SPECIALLY ADAPTED FOR VEHICLES (fastening, suspending, closing, or opening of such devices E05)",B,60,J
B60K,"ARRANGEMENT OR MOUNTING OF PROPULSION UNITS OR OF TRANSMISSIONS IN VEHICLES; ARRANGEMENT OR MOUNTING OF PLURAL DIVERSE PRIME-MOVERS IN VEHICLES; AUXILIARY DRIVES FOR VEHICLES; INSTRUMENTATION OR DASHBOARDS FOR VEHICLES; ARRANGEMENTS IN CONNECTION WITH COOLING, AIR INTAKE, GAS EXHAUST OR FUEL SUPPLY OF PROPULSION UNITS IN VEHICLES",B,60,K
B60L,"PROPULSION OF ELECTRICALLY-PROPELLED VEHICLES (arrangements or mounting of electrical propulsion units or of plural diverse prime-movers for mutual or common propulsion in vehicles B60K1/00, B60K6/20; arrangements or mounting of electrical gearing in vehicles B60K17/12, B60K17/14; preventing wheel slip by reducing power in rail vehicles B61C15/08; dynamo-electric machines H02K; control or regulation of electric motors H02P); SUPPLYING ELECTRIC POWER FOR AUXILIARY EQUIPMENT OF ELECTRICALLY-PROPELLED VEHICLES (electric coupling devices combined with mechanical couplings of vehicles B60D1/64; electric heating for vehicles B60H1/00); ELECTRODYNAMIC BRAKE SYSTEMS FOR VEHICLES IN GENERAL (control or regulation of electric motors H02P); MAGNETIC SUSPENSION OR LEVITATION FOR VEHICLES; MONITORING OPERATING VARIABLES OF ELECTRICALLY-PROPELLED VEHICLES; ELECTRIC SAFETY DEVICES FOR ELECTRICALLY-PROPELLED VEHICLES",B,60,L
B60M,"POWER SUPPLY LINES, AND DEVICES ALONG RAILS, FOR ELECTRICALLY- PROPELLED VEHICLES (control of points and safety arrangements along railway lines B61L; construction of rails and points in general E01B)",B,60,M
B60N,SEATS SPECIALLY ADAPTED FOR VEHICLES; VEHICLE PASSENGER ACCOMMODATION NOT OTHERWISE PROVIDED FOR,B,60,N
B60P,"VEHICLES ADAPTED FOR LOAD TRANSPORTATION OR TO TRANSPORT, TO CARRY, OR TO COMPRISE SPECIAL LOADS OR OBJECTS (vehicles with special provisions for transporting patients or disabled persons, or their personal conveyances A61G3/00)",B,60,P
B60Q,"ARRANGEMENT OF SIGNALLING OR LIGHTING DEVICES, THE MOUNTING OR SUPPORTING THEREOF OR CIRCUITS THEREFOR, FOR VEHICLES IN GENERAL",B,60,Q
B60R,"VEHICLES, VEHICLE FITTINGS, OR VEHICLE PARTS, NOT OTHERWISE PROVIDED FOR",B,60,R
B60S,"SERVICING, CLEANING, REPAIRING, SUPPORTING, LIFTING, OR MANOEUVRING OF VEHICLES, NOT OTHERWISE PROVIDED FOR",B,60,S
B60T,"VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF; BRAKE CONTROL SYSTEMS OR PARTS THEREOF, IN GENERAL (electrodynamic brake systems for vehicle, in general B60L; brakes per se, i.e. devices where braking effect occurs, including ultimate brake actuators, F16D); ARRANGEMENT OF BRAKING ELEMENTS ON VEHICLES IN GENERAL; PORTABLE DEVICES FOR PREVENTING UNWANTED MOVEMENT OF VEHICLES; VEHICLE MODIFICATIONS TO FACILITATE COOLING OF BRAKES",B,60,T
B60V,AIR-CUSHION VEHICLES,B,60,V
B60W,CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION; CONTROL SYSTEMS SPECIALLY ADAPTED FOR HYBRID VEHICLES; ROAD VEHICLE DRIVE CONTROL SYSTEMS FOR PURPOSES NOT RELATED TO THE CONTROL OF A PARTICULAR SUB-UNIT,B,60,W
B60Y,INDEXING SCHEME RELATING TO ASPECTS CROSS-CUTTING VEHICLE TECHNOLOGY,B,60,Y
B61B,"RAILWAY SYSTEMS; EQUIPMENT THEREFOR NOT OTHERWISE PROVIDED FOR (lifts or hoists, elevators, escalators, moving walkways B66B)",B,61,B
B61C,"LOCOMOTIVES; MOTOR RAILCARS (vehicles in general B60; frames or bogies B61F; special railroad equipment for locomotives B61J, B61K)",B,61,C
B61D,BODY DETAILS OR KINDS OF RAILWAY VEHICLES (vehicles in general B60; adaptation of vehicles to special systems B61B; underframes B61F),B,61,D
B61F,"RAIL VEHICLE SUSPENSIONS, e.g. UNDERFRAMES, BOGIES OR ARRANGEMENTS OF WHEEL AXLES; RAIL VEHICLES FOR USE ON TRACKS OF DIFFERENT WIDTH; PREVENTING DERAILING OF RAIL VEHICLES; WHEEL GUARDS, OBSTRUCTION REMOVERS OR THE LIKE FOR RAIL VEHICLES (for vehicles in general B60; axles or wheels B60B; vehicle tyres B60C)",B,61,F
B61G,COUPLINGS; DRAUGHT AND BUFFING APPLIANCES (vehicle connections in general B60D),B,61,G
B61H,"BRAKES OR OTHER RETARDING DEVICES SPECIALLY ADAPTED FOR RAIL VEHICLES; ARRANGEMENT OR DISPOSITION THEREOF IN RAIL VEHICLES (electrodynamic braking of vehicles B60L, in general H02K; arrangements in rail vehicles for adjusting wheel-braking force to meet varying vehicular or permanent-way conditions B60T8/00; transmitting braking action from initiating means to ultimate brake actuator with power assistance or drive, brake systems incorporating such transmitting means, e.g. air-pressure brake systems, B60T13/00; construction, arrangement or operation of valves incorporated in power brake systems B60T15/00; component parts, details or accessories of brake systems B60T17/00; brakes in general F16D)",B,61,H
B61J,SHIFTING OR SHUNTING OF RAIL VEHICLES (shifting vehicles in general B60S; marshalling systems B61B),B,61,J
B61K,"AUXILIARY EQUIPMENT SPECIALLY ADAPTED FOR RAILWAYS, NOT OTHERWISE PROVIDED FOR (energy-storing brakes B61H; protection of permanent way against weather influences E01B; rail cleaning, snow ploughs E01H)",B,61,K
B61L,"GUIDING RAILWAY TRAFFIC; ENSURING THE SAFETY OF RAILWAY TRAFFIC (power supply lines for electrically-propelled vehicles B60M; vehicle signalling in general B60Q; brakes or auxiliary equipment B61H, B61K; point or crossing construction E01B; insulated rail joints E01B11/54; optical devices in general G02; controlling in general G05; electric communication technique H04)",B,61,L
B62B,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS OR PERAMBULATORS; SLEDGES (characterised by animal propulsion B62C; propulsion of sledges by driver or engine B62M)",B,62,B
B62C,VEHICLES DRAWN BY ANIMALS,B,62,C
B62D,"MOTOR VEHICLES; TRAILERS (steering, or guiding on a desired track, of agricultural machines or implements A01B69/00; wheels, castors, axles, increasing wheel adhesion B60B; vehicle tyres, tyre inflation or tyre changing B60C; connections between vehicles of a train or the like B60D; vehicles for use on rail and road, amphibious or convertible vehicles B60F; suspension arrangements B60G; heating, cooling, ventilating or other air treating devices B60H; windows, windscreens, non-fixed roofs, doors or similar devices, protective coverings for vehicles not in use B60J; propulsion plant arrangements, auxiliary drives, transmissions, controls, instrumentation or dashboards B60K; electric equipment or propulsion of electrically-propelled vehicles B60L; power supply for electrically-propelled vehicles B60M; passenger accommodation not otherwise provided for B60N; adaptations for load transportation or to carry special loads or objects B60P; arrangement of signalling or lighting devices, the mounting or supporting thereof or circuits therefor, for vehicles in general B60Q; vehicles, vehicle fittings or vehicle parts not otherwise provided for B60R; servicing, cleaning, repairing, supporting, lifting, or manoeuvring, not otherwise provided for, B60S; brake arrangements, brake control systems or parts thereof B60T; air-cushion vehicles B60V; motor-cycles, accessories therefor B62J, B62K; testing of vehicles G01M)",B,62,D
B62H,CYCLE STANDS; SUPPORTS OR HOLDERS FOR PARKING OR STORING CYCLES; APPLIANCES PREVENTING OR INDICATING UNAUTHORIZED USE OR THEFT OF CYCLES; LOCKS INTEGRAL WITH CYCLES; DEVICES FOR LEARNING TO RIDE CYCLES,B,62,H
B62J,"CYCLE SADDLES OR SEATS; AUXILIARY DEVICES OR ACCESSORIES SPECIALLY ADAPTED TO CYCLES AND NOT OTHERWISE PROVIDED FOR, e.g. ARTICLE CARRIERS OR CYCLE PROTECTORS",B,62,J
